"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","PPI","DOMESTIC","IDX2015","M","2000-01",80.33244,
"AUT","PPI","DOMESTIC","IDX2015","M","2000-02",80.71407,
"AUT","PPI","DOMESTIC","IDX2015","M","2000-03",81.00029,
"AUT","PPI","DOMESTIC","IDX2015","M","2000-04",80.80947,
"AUT","PPI","DOMESTIC","IDX2015","M","2000-05",81.28651,
"AUT","PPI","DOMESTIC","IDX2015","M","2000-06",81.66814,
"AUT","PPI","DOMESTIC","IDX2015","M","2000-07",81.66814,
"AUT","PPI","DOMESTIC","IDX2015","M","2000-08",81.95435,
"AUT","PPI","DOMESTIC","IDX2015","M","2000-09",83.38545,
"AUT","PPI","DOMESTIC","IDX2015","M","2000-10",83.29005,
"AUT","PPI","DOMESTIC","IDX2015","M","2000-11",83.19464,
"AUT","PPI","DOMESTIC","IDX2015","M","2000-12",82.71761,
"AUT","PPI","DOMESTIC","IDX2015","M","2001-01",82.24058,
"AUT","PPI","DOMESTIC","IDX2015","M","2001-02",82.24058,
"AUT","PPI","DOMESTIC","IDX2015","M","2001-03",82.14516,
"AUT","PPI","DOMESTIC","IDX2015","M","2001-04",82.24058,
"AUT","PPI","DOMESTIC","IDX2015","M","2001-05",82.24058,
"AUT","PPI","DOMESTIC","IDX2015","M","2001-06",82.43139,
"AUT","PPI","DOMESTIC","IDX2015","M","2001-07",82.24058,
"AUT","PPI","DOMESTIC","IDX2015","M","2001-08",81.85895,
"AUT","PPI","DOMESTIC","IDX2015","M","2001-09",81.95435,
"AUT","PPI","DOMESTIC","IDX2015","M","2001-10",81.38191,
"AUT","PPI","DOMESTIC","IDX2015","M","2001-11",81.00029,
"AUT","PPI","DOMESTIC","IDX2015","M","2001-12",80.52325,
"AUT","PPI","DOMESTIC","IDX2015","M","2002-01",80.52325,
"AUT","PPI","DOMESTIC","IDX2015","M","2002-02",80.04622,
"AUT","PPI","DOMESTIC","IDX2015","M","2002-03",80.61866,
"AUT","PPI","DOMESTIC","IDX2015","M","2002-04",80.90488,
"AUT","PPI","DOMESTIC","IDX2015","M","2002-05",81.0957,
"AUT","PPI","DOMESTIC","IDX2015","M","2002-06",80.61866,
"AUT","PPI","DOMESTIC","IDX2015","M","2002-07",80.61866,
"AUT","PPI","DOMESTIC","IDX2015","M","2002-08",80.71407,
"AUT","PPI","DOMESTIC","IDX2015","M","2002-09",81.0957,
"AUT","PPI","DOMESTIC","IDX2015","M","2002-10",81.0957,
"AUT","PPI","DOMESTIC","IDX2015","M","2002-11",80.61866,
"AUT","PPI","DOMESTIC","IDX2015","M","2002-12",80.71407,
"AUT","PPI","DOMESTIC","IDX2015","M","2003-01",81.38191,
"AUT","PPI","DOMESTIC","IDX2015","M","2003-02",81.85895,
"AUT","PPI","DOMESTIC","IDX2015","M","2003-03",81.95435,
"AUT","PPI","DOMESTIC","IDX2015","M","2003-04",80.80947,
"AUT","PPI","DOMESTIC","IDX2015","M","2003-05",80.71407,
"AUT","PPI","DOMESTIC","IDX2015","M","2003-06",80.80947,
"AUT","PPI","DOMESTIC","IDX2015","M","2003-07",80.52325,
"AUT","PPI","DOMESTIC","IDX2015","M","2003-08",80.52325,
"AUT","PPI","DOMESTIC","IDX2015","M","2003-09",80.61866,
