"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GNI","TOT","USD_CAP","A","1960",2410.019194,
"AUS","GNI","TOT","USD_CAP","A","1961",2390.155724,
"AUS","GNI","TOT","USD_CAP","A","1962",2569.962134,
"AUS","GNI","TOT","USD_CAP","A","1963",2752.232005,
"AUS","GNI","TOT","USD_CAP","A","1964",2911.100632,
"AUS","GNI","TOT","USD_CAP","A","1965",2995.498054,
"AUS","GNI","TOT","USD_CAP","A","1966",3252.577257,
"AUS","GNI","TOT","USD_CAP","A","1967",3415.145688,
"AUS","GNI","TOT","USD_CAP","A","1968",3777.277325,
"AUS","GNI","TOT","USD_CAP","A","1969",4160.467829,
"AUS","GNI","TOT","USD_CAP","A","1970",4600.890578,
"AUS","GNI","TOT","USD_CAP","A","1971",4842.803349,
"AUS","GNI","TOT","USD_CAP","A","1972",5213.848658,
"AUS","GNI","TOT","USD_CAP","A","1973",5776.467777,
"AUS","GNI","TOT","USD_CAP","A","1974",6259.316203,
"AUS","GNI","TOT","USD_CAP","A","1975",6939.080336,
"AUS","GNI","TOT","USD_CAP","A","1976",7344.827184,
"AUS","GNI","TOT","USD_CAP","A","1977",7634.48017,
"AUS","GNI","TOT","USD_CAP","A","1978",8449.845423,
"AUS","GNI","TOT","USD_CAP","A","1979",9357.97738,
"AUS","GNI","TOT","USD_CAP","A","1980",10443.622886,
"AUS","GNI","TOT","USD_CAP","A","1981",11728.860639,
"AUS","GNI","TOT","USD_CAP","A","1982",11897.128443,
"AUS","GNI","TOT","USD_CAP","A","1983",12627.884222,
"AUS","GNI","TOT","USD_CAP","A","1984",13421.165317,
"AUS","GNI","TOT","USD_CAP","A","1985",14255.77538,
"AUS","GNI","TOT","USD_CAP","A","1986",14711.906277,
"AUS","GNI","TOT","USD_CAP","A","1987",15755.657766,
"AUS","GNI","TOT","USD_CAP","A","1988",16662.905564,
"AUS","GNI","TOT","USD_CAP","A","1989",17213.968796,
"AUS","GNI","TOT","USD_CAP","A","1990",17121.593614,
"AUS","GNI","TOT","USD_CAP","A","1991",17476.466075,
"AUS","GNI","TOT","USD_CAP","A","1992",18647.693206,
"AUS","GNI","TOT","USD_CAP","A","1993",19741.295148,
"AUS","GNI","TOT","USD_CAP","A","1994",20694.620521,
"AUS","GNI","TOT","USD_CAP","A","1995",21649.133893,
"AUS","GNI","TOT","USD_CAP","A","1996",22507.576692,
"AUS","GNI","TOT","USD_CAP","A","1997",23706.226955,
"AUS","GNI","TOT","USD_CAP","A","1998",24906.01315,
"AUS","GNI","TOT","USD_CAP","A","1999",26356.744688,
"AUS","GNI","TOT","USD_CAP","A","2000",27520.183006,
"AUS","GNI","TOT","USD_CAP","A","2001",28745.141332,
"AUS","GNI","TOT","USD_CAP","A","2002",29940.928729,
"AUS","GNI","TOT","USD_CAP","A","2003",31469.685495,
"AUS","GNI","TOT","USD_CAP","A","2004",32740.48602,
"AUS","GNI","TOT","USD_CAP","A","2005",34273.604978,
"AUS","GNI","TOT","USD_CAP","A","2006",36249.21335,
"AUS","GNI","TOT","USD_CAP","A","2007",38067.407815,
"AUS","GNI","TOT","USD_CAP","A","2008",38724.161323,
"AUS","GNI","TOT","USD_CAP","A","2009",40057.511817,
"AUS","GNI","TOT","USD_CAP","A","2010",41099.911569,
"AUS","GNI","TOT","USD_CAP","A","2011",43089.625865,
"AUS","GNI","TOT","USD_CAP","A","2012",42793.330536,
"AUS","GNI","TOT","USD_CAP","A","2013",46516.368344,
"AUS","GNI","TOT","USD_CAP","A","2014",46639.607311,
"AUS","GNI","TOT","USD_CAP","A","2015",46115.624328,
"AUS","GNI","TOT","USD_CAP","A","2016",48775.931511,
"AUS","GNI","TOT","USD_CAP","A","2017",49119.582443,
"AUS","GNI","TOT","USD_CAP","A","2018",51254.090388,
"AUS","GNI","TOT","USD_CAP","A","2019",51598.411675,
"AUS","GNI","TOT","USD_CAP","A","2020",55154.538972,
"AUS","GNI","TOT","USD_CAP","A","2021",59844.152765,
"AUT","GNI","TOT","USD_CAP","A","1970",3847.241238,"E"
"AUT","GNI","TOT","USD_CAP","A","1971",4232.723516,"E"
"AUT","GNI","TOT","USD_CAP","A","1972",4657.917829,"E"
"AUT","GNI","TOT","USD_CAP","A","1973",5121.720557,"E"
"AUT","GNI","TOT","USD_CAP","A","1974",5801.11094,"E"
"AUT","GNI","TOT","USD_CAP","A","1975",6327.688487,"E"
"AUT","GNI","TOT","USD_CAP","A","1976",6983.238539,"E"
"AUT","GNI","TOT","USD_CAP","A","1977",7784.508677,"E"
"AUT","GNI","TOT","USD_CAP","A","1978",8316.335845,"E"
"AUT","GNI","TOT","USD_CAP","A","1979",9508.500854,"E"
"AUT","GNI","TOT","USD_CAP","A","1980",10539.091491,"E"
"AUT","GNI","TOT","USD_CAP","A","1981",11464.944296,"E"
"AUT","GNI","TOT","USD_CAP","A","1982",12427.365146,"E"
"AUT","GNI","TOT","USD_CAP","A","1983",13348.618854,"E"
"AUT","GNI","TOT","USD_CAP","A","1984",13824.752424,"E"
"AUT","GNI","TOT","USD_CAP","A","1985",14614.850892,"E"
"AUT","GNI","TOT","USD_CAP","A","1986",15197.237378,"E"
"AUT","GNI","TOT","USD_CAP","A","1987",15777.058918,"E"
"AUT","GNI","TOT","USD_CAP","A","1988",16912.188716,"E"
"AUT","GNI","TOT","USD_CAP","A","1989",18194.579355,"E"
"AUT","GNI","TOT","USD_CAP","A","1990",19561.545708,"E"
"AUT","GNI","TOT","USD_CAP","A","1991",20602.09166,"E"
