"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HHDEBT","TOT","PC_NDI","A","1995",96.53382,
"AUS","HHDEBT","TOT","PC_NDI","A","1996",100.2681,
"AUS","HHDEBT","TOT","PC_NDI","A","1997",109.5295,
"AUS","HHDEBT","TOT","PC_NDI","A","1998",117.352,
"AUS","HHDEBT","TOT","PC_NDI","A","1999",123.6692,
"AUS","HHDEBT","TOT","PC_NDI","A","2000",127.8075,
"AUS","HHDEBT","TOT","PC_NDI","A","2001",133.1268,
"AUS","HHDEBT","TOT","PC_NDI","A","2002",152.1256,
"AUS","HHDEBT","TOT","PC_NDI","A","2003",163.8903,
"AUS","HHDEBT","TOT","PC_NDI","A","2004",174.6619,
"AUS","HHDEBT","TOT","PC_NDI","A","2005",185.268,
"AUS","HHDEBT","TOT","PC_NDI","A","2006",190.5731,
"AUS","HHDEBT","TOT","PC_NDI","A","2007",194.4897,
"AUS","HHDEBT","TOT","PC_NDI","A","2008",188.0799,
"AUS","HHDEBT","TOT","PC_NDI","A","2009",193.7776,
"AUS","HHDEBT","TOT","PC_NDI","A","2010",191.6334,
"AUS","HHDEBT","TOT","PC_NDI","A","2011",190.5874,
"AUS","HHDEBT","TOT","PC_NDI","A","2012",192.2672,
"AUS","HHDEBT","TOT","PC_NDI","A","2013",192.5478,
"AUS","HHDEBT","TOT","PC_NDI","A","2014",196.3439,
"AUS","HHDEBT","TOT","PC_NDI","A","2015",204.9934,
"AUS","HHDEBT","TOT","PC_NDI","A","2016",211.5531,
"AUS","HHDEBT","TOT","PC_NDI","A","2017",216.8972,
"AUS","HHDEBT","TOT","PC_NDI","A","2018",217.9175,
"AUS","HHDEBT","TOT","PC_NDI","A","2019",211.606,
"AUS","HHDEBT","TOT","PC_NDI","A","2020",204.3175,
"AUS","HHDEBT","TOT","PC_NDI","A","2021",211.1806,
"AUS","HHDEBT","TOT","PC_NDI","A","2022",NA,
"AUT","HHDEBT","TOT","PC_NDI","A","1995",65.85123,
"AUT","HHDEBT","TOT","PC_NDI","A","1996",68.45939,
"AUT","HHDEBT","TOT","PC_NDI","A","1997",70.871,
"AUT","HHDEBT","TOT","PC_NDI","A","1998",70.46921,
"AUT","HHDEBT","TOT","PC_NDI","A","1999",73.53783,
"AUT","HHDEBT","TOT","PC_NDI","A","2000",75.41841,
"AUT","HHDEBT","TOT","PC_NDI","A","2001",77.01186,
"AUT","HHDEBT","TOT","PC_NDI","A","2002",78.94254,
"AUT","HHDEBT","TOT","PC_NDI","A","2003",79.08277,
"AUT","HHDEBT","TOT","PC_NDI","A","2004",81.19659,
"AUT","HHDEBT","TOT","PC_NDI","A","2005",87.18607,
