"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","CPI","TOT","AGRWTH","Q","1995-Q1",3.739837,
"AUS","CPI","TOT","AGRWTH","Q","1995-Q2",4.523425,
"AUS","CPI","TOT","AGRWTH","Q","1995-Q3",5.136436,
"AUS","CPI","TOT","AGRWTH","Q","1995-Q4",5.095541,
"AUS","CPI","TOT","AGRWTH","Q","1996-Q1",3.761755,
"AUS","CPI","TOT","AGRWTH","Q","1996-Q2",3.09119,
"AUS","CPI","TOT","AGRWTH","Q","1996-Q3",2.137405,
"AUS","CPI","TOT","AGRWTH","Q","1996-Q4",1.515152,
"AUS","CPI","TOT","AGRWTH","Q","1997-Q1",1.359517,
"AUS","CPI","TOT","AGRWTH","Q","1997-Q2",0.2998501,
"AUS","CPI","TOT","AGRWTH","Q","1997-Q3",-0.4484305,
"AUS","CPI","TOT","AGRWTH","Q","1997-Q4",-0.2985075,
"AUS","CPI","TOT","AGRWTH","Q","1998-Q1",-0.1490313,
"AUS","CPI","TOT","AGRWTH","Q","1998-Q2",0.7473841,
"AUS","CPI","TOT","AGRWTH","Q","1998-Q3",1.351351,
"AUS","CPI","TOT","AGRWTH","Q","1998-Q4",1.497006,
"AUS","CPI","TOT","AGRWTH","Q","1999-Q1",1.19403,
"AUS","CPI","TOT","AGRWTH","Q","1999-Q2",1.038576,
"AUS","CPI","TOT","AGRWTH","Q","1999-Q3",1.777778,
"AUS","CPI","TOT","AGRWTH","Q","1999-Q4",1.917404,
"AUS","CPI","TOT","AGRWTH","Q","2000-Q1",2.80236,
"AUS","CPI","TOT","AGRWTH","Q","2000-Q2",3.0837,
"AUS","CPI","TOT","AGRWTH","Q","2000-Q3",6.113537,
"AUS","CPI","TOT","AGRWTH","Q","2000-Q4",5.788712,
"AUS","CPI","TOT","AGRWTH","Q","2001-Q1",6.025825,
"AUS","CPI","TOT","AGRWTH","Q","2001-Q2",6.125356,
"AUS","CPI","TOT","AGRWTH","Q","2001-Q3",2.469136,
"AUS","CPI","TOT","AGRWTH","Q","2001-Q4",3.146375,
"AUS","CPI","TOT","AGRWTH","Q","2002-Q1",2.976996,
"AUS","CPI","TOT","AGRWTH","Q","2002-Q2",2.818792,
"AUS","CPI","TOT","AGRWTH","Q","2002-Q3",3.212852,
"AUS","CPI","TOT","AGRWTH","Q","2002-Q4",2.917772,
"AUS","CPI","TOT","AGRWTH","Q","2003-Q1",3.285151,
"AUS","CPI","TOT","AGRWTH","Q","2003-Q2",2.610966,
"AUS","CPI","TOT","AGRWTH","Q","2003-Q3",2.594034,
"AUS","CPI","TOT","AGRWTH","Q","2003-Q4",2.448454,
"AUS","CPI","TOT","AGRWTH","Q","2004-Q1",2.035623,
"AUS","CPI","TOT","AGRWTH","Q","2004-Q2",2.544529,
"AUS","CPI","TOT","AGRWTH","Q","2004-Q3",2.2756,
"AUS","CPI","TOT","AGRWTH","Q","2004-Q4",2.515723,
"AUS","CPI","TOT","AGRWTH","Q","2005-Q1",2.369077,
"AUS","CPI","TOT","AGRWTH","Q","2005-Q2",2.48139,
"AUS","CPI","TOT","AGRWTH","Q","2005-Q3",3.090235,
"AUS","CPI","TOT","AGRWTH","Q","2005-Q4",2.822086,
"AUS","CPI","TOT","AGRWTH","Q","2006-Q1",2.923264,
"AUS","CPI","TOT","AGRWTH","Q","2006-Q2",3.995157,
"AUS","CPI","TOT","AGRWTH","Q","2006-Q3",3.956835,
"AUS","CPI","TOT","AGRWTH","Q","2006-Q4",3.341289,
"AUS","CPI","TOT","AGRWTH","Q","2007-Q1",2.485207,
"AUS","CPI","TOT","AGRWTH","Q","2007-Q2",2.09546,
"AUS","CPI","TOT","AGRWTH","Q","2007-Q3",1.845444,
"AUS","CPI","TOT","AGRWTH","Q","2007-Q4",2.886836,
"AUS","CPI","TOT","AGRWTH","Q","2008-Q1",4.272517,
"AUS","CPI","TOT","AGRWTH","Q","2008-Q2",4.446979,
"AUS","CPI","TOT","AGRWTH","Q","2008-Q3",4.983013,
"AUS","CPI","TOT","AGRWTH","Q","2008-Q4",3.703704,
"AUS","CPI","TOT","AGRWTH","Q","2009-Q1",2.436323,
"AUS","CPI","TOT","AGRWTH","Q","2009-Q2",1.419214,
"AUS","CPI","TOT","AGRWTH","Q","2009-Q3",1.186624,
"AUS","CPI","TOT","AGRWTH","Q","2009-Q4",2.056277,
"AUS","CPI","TOT","AGRWTH","Q","2010-Q1",2.918919,
"AUS","CPI","TOT","AGRWTH","Q","2010-Q2",3.121636,
"AUS","CPI","TOT","AGRWTH","Q","2010-Q3",2.878465,
"AUS","CPI","TOT","AGRWTH","Q","2010-Q4",2.757158,
"AUS","CPI","TOT","AGRWTH","Q","2011-Q1",3.256303,
"AUS","CPI","TOT","AGRWTH","Q","2011-Q2",3.549061,
"AUS","CPI","TOT","AGRWTH","Q","2011-Q3",3.419689,
"AUS","CPI","TOT","AGRWTH","Q","2011-Q4",2.992776,
"AUS","CPI","TOT","AGRWTH","Q","2012-Q1",1.62767,
"AUS","CPI","TOT","AGRWTH","Q","2012-Q2",1.209677,
"AUS","CPI","TOT","AGRWTH","Q","2012-Q3",2.004008,
"AUS","CPI","TOT","AGRWTH","Q","2012-Q4",2.204409,
"AUS","CPI","TOT","AGRWTH","Q","2013-Q1",2.502502,
"AUS","CPI","TOT","AGRWTH","Q","2013-Q2",2.390438,
"AUS","CPI","TOT","AGRWTH","Q","2013-Q3",2.1611,
"AUS","CPI","TOT","AGRWTH","Q","2013-Q4",2.745098,
"AUS","CPI","TOT","AGRWTH","Q","2014-Q1",2.929688,
"AUS","CPI","TOT","AGRWTH","Q","2014-Q2",3.015564,
"AUS","CPI","TOT","AGRWTH","Q","2014-Q3",2.307692,
"AUS","CPI","TOT","AGRWTH","Q","2014-Q4",1.717557,
"AUS","CPI","TOT","AGRWTH","Q","2015-Q1",1.328273,
"AUS","CPI","TOT","AGRWTH","Q","2015-Q2",1.510859,
"AUS","CPI","TOT","AGRWTH","Q","2015-Q3",1.503759,
"AUS","CPI","TOT","AGRWTH","Q","2015-Q4",1.688555,
"AUS","CPI","TOT","AGRWTH","Q","2016-Q1",1.310861,
"AUS","CPI","TOT","AGRWTH","Q","2016-Q2",1.023256,
"AUS","CPI","TOT","AGRWTH","Q","2016-Q3",1.296296,
"AUS","CPI","TOT","AGRWTH","Q","2016-Q4",1.476015,
"AUS","CPI","TOT","AGRWTH","Q","2017-Q1",2.125693,
"AUS","CPI","TOT","AGRWTH","Q","2017-Q2",1.933702,
"AUS","CPI","TOT","AGRWTH","Q","2017-Q3",1.828154,
"AUS","CPI","TOT","AGRWTH","Q","2017-Q4",1.909091,
"AUS","CPI","TOT","AGRWTH","Q","2018-Q1",1.900452,
"AUS","CPI","TOT","AGRWTH","Q","2018-Q2",2.077688,
"AUS","CPI","TOT","AGRWTH","Q","2018-Q3",1.885099,
"AUS","CPI","TOT","AGRWTH","Q","2018-Q4",1.784121,
"AUS","CPI","TOT","AGRWTH","Q","2019-Q1",1.332149,
"AUS","CPI","TOT","AGRWTH","Q","2019-Q2",1.59292,
"AUS","CPI","TOT","AGRWTH","Q","2019-Q3",1.674009,
"AUS","CPI","TOT","AGRWTH","Q","2019-Q4",1.840491,
"AUS","CPI","TOT","AGRWTH","Q","2020-Q1",2.191061,
"AUS","CPI","TOT","AGRWTH","Q","2020-Q2",-0.3484321,
"AUS","CPI","TOT","AGRWTH","Q","2020-Q3",0.6932409,
"AUS","CPI","TOT","AGRWTH","Q","2020-Q4",0.8605852,
"AUS","CPI","TOT","AGRWTH","Q","2021-Q1",1.114923,
"AUS","CPI","TOT","AGRWTH","Q","2021-Q2",3.846154,
"AUS","CPI","TOT","AGRWTH","Q","2021-Q3",3.012048,
"AUS","CPI","TOT","AGRWTH","Q","2021-Q4",3.498293,
"AUS","CPI","TOT","AGRWTH","Q","2022-Q1",5.089058,
"AUS","CPI","TOT","AGRWTH","Q","2022-Q2",6.144781,
"AUS","CPI","TOT","AGRWTH","Q","2022-Q3",7.26817,
"AUS","CPI","TOT","AGRWTH","Q","2022-Q4",7.831822,
"AUT","CPI","TOT","AGRWTH","Q","1995-Q1",2.466103,
"AUT","CPI","TOT","AGRWTH","Q","1995-Q2",2.53177,
"AUT","CPI","TOT","AGRWTH","Q","1995-Q3",2.1008,
"AUT","CPI","TOT","AGRWTH","Q","1995-Q4",1.880938,
"AUT","CPI","TOT","AGRWTH","Q","1996-Q1",1.697191,
"AUT","CPI","TOT","AGRWTH","Q","1996-Q2",1.592144,
"AUT","CPI","TOT","AGRWTH","Q","1996-Q3",1.915998,
"AUT","CPI","TOT","AGRWTH","Q","1996-Q4",2.236391,
"AUT","CPI","TOT","AGRWTH","Q","1997-Q1",1.904583,
"AUT","CPI","TOT","AGRWTH","Q","1997-Q2",1.689189,
"AUT","CPI","TOT","AGRWTH","Q","1997-Q3",0.3797001,
"AUT","CPI","TOT","AGRWTH","Q","1997-Q4",1.265941,
"AUT","CPI","TOT","AGRWTH","Q","1998-Q1",1.054774,
"AUT","CPI","TOT","AGRWTH","Q","1998-Q2",1.024364,
"AUT","CPI","TOT","AGRWTH","Q","1998-Q3",0.8856909,
"AUT","CPI","TOT","AGRWTH","Q","1998-Q4",0.7261698,
"AUT","CPI","TOT","AGRWTH","Q","1999-Q1",0.4669472,
"AUT","CPI","TOT","AGRWTH","Q","1999-Q2",0.3653968,
"AUT","CPI","TOT","AGRWTH","Q","1999-Q3",0.4663917,
"AUT","CPI","TOT","AGRWTH","Q","1999-Q4",0.9764554,
"AUT","CPI","TOT","AGRWTH","Q","2000-Q1",1.576597,
"AUT","CPI","TOT","AGRWTH","Q","2000-Q2",2.111587,
"AUT","CPI","TOT","AGRWTH","Q","2000-Q3",2.858183,
"AUT","CPI","TOT","AGRWTH","Q","2000-Q4",2.828739,
"AUT","CPI","TOT","AGRWTH","Q","2001-Q1",2.780696,
"AUT","CPI","TOT","AGRWTH","Q","2001-Q2",3.082184,
"AUT","CPI","TOT","AGRWTH","Q","2001-Q3",2.609017,
"AUT","CPI","TOT","AGRWTH","Q","2001-Q4",2.136527,
"AUT","CPI","TOT","AGRWTH","Q","2002-Q1",1.965924,
"AUT","CPI","TOT","AGRWTH","Q","2002-Q2",1.785135,
"AUT","CPI","TOT","AGRWTH","Q","2002-Q3",1.715766,
"AUT","CPI","TOT","AGRWTH","Q","2002-Q4",1.776486,
"AUT","CPI","TOT","AGRWTH","Q","2003-Q1",1.767352,
"AUT","CPI","TOT","AGRWTH","Q","2003-Q2",1.179847,
"AUT","CPI","TOT","AGRWTH","Q","2003-Q3",1.273075,
"AUT","CPI","TOT","AGRWTH","Q","2003-Q4",1.205966,
"AUT","CPI","TOT","AGRWTH","Q","2004-Q1",1.357752,
"AUT","CPI","TOT","AGRWTH","Q","2004-Q2",1.985503,
"AUT","CPI","TOT","AGRWTH","Q","2004-Q3",2.168447,
"AUT","CPI","TOT","AGRWTH","Q","2004-Q4",2.728128,
"AUT","CPI","TOT","AGRWTH","Q","2005-Q1",2.902315,
"AUT","CPI","TOT","AGRWTH","Q","2005-Q2",2.485614,
"AUT","CPI","TOT","AGRWTH","Q","2005-Q3",2.216843,
"AUT","CPI","TOT","AGRWTH","Q","2005-Q4",1.60558,
"AUT","CPI","TOT","AGRWTH","Q","2006-Q1",1.138266,
"AUT","CPI","TOT","AGRWTH","Q","2006-Q2",1.633878,
"AUT","CPI","TOT","AGRWTH","Q","2006-Q3",1.56406,
"AUT","CPI","TOT","AGRWTH","Q","2006-Q4",1.428571,
"AUT","CPI","TOT","AGRWTH","Q","2007-Q1",1.655081,
"AUT","CPI","TOT","AGRWTH","Q","2007-Q2",1.902887,
"AUT","CPI","TOT","AGRWTH","Q","2007-Q3",1.933159,
"AUT","CPI","TOT","AGRWTH","Q","2007-Q4",3.177203,
"AUT","CPI","TOT","AGRWTH","Q","2008-Q1",3.321394,
"AUT","CPI","TOT","AGRWTH","Q","2008-Q2",3.605924,
"AUT","CPI","TOT","AGRWTH","Q","2008-Q3",3.728705,
"AUT","CPI","TOT","AGRWTH","Q","2008-Q4",2.222222,
"AUT","CPI","TOT","AGRWTH","Q","2009-Q1",1.103057,
"AUT","CPI","TOT","AGRWTH","Q","2009-Q2",0.2796768,
"AUT","CPI","TOT","AGRWTH","Q","2009-Q3",0.03098853,
