"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","PPI","DOMESTIC","IDX2015","Q","2000-Q1",80.68227,
"AUT","PPI","DOMESTIC","IDX2015","Q","2000-Q2",81.25471,
"AUT","PPI","DOMESTIC","IDX2015","Q","2000-Q3",82.33598,
"AUT","PPI","DOMESTIC","IDX2015","Q","2000-Q4",83.06743,
"AUT","PPI","DOMESTIC","IDX2015","Q","2001-Q1",82.20877,
"AUT","PPI","DOMESTIC","IDX2015","Q","2001-Q2",82.30418,
"AUT","PPI","DOMESTIC","IDX2015","Q","2001-Q3",82.01796,
"AUT","PPI","DOMESTIC","IDX2015","Q","2001-Q4",80.96848,
"AUT","PPI","DOMESTIC","IDX2015","Q","2002-Q1",80.39604,
"AUT","PPI","DOMESTIC","IDX2015","Q","2002-Q2",80.87308,
"AUT","PPI","DOMESTIC","IDX2015","Q","2002-Q3",80.80947,
"AUT","PPI","DOMESTIC","IDX2015","Q","2002-Q4",80.80947,
"AUT","PPI","DOMESTIC","IDX2015","Q","2003-Q1",81.73174,
"AUT","PPI","DOMESTIC","IDX2015","Q","2003-Q2",80.77767,
"AUT","PPI","DOMESTIC","IDX2015","Q","2003-Q3",80.55505,
"AUT","PPI","DOMESTIC","IDX2015","Q","2003-Q4",80.74587,
"AUT","PPI","DOMESTIC","IDX2015","Q","2004-Q1",81.50912,
"AUT","PPI","DOMESTIC","IDX2015","Q","2004-Q2",82.20877,
"AUT","PPI","DOMESTIC","IDX2015","Q","2004-Q3",83.32185,
"AUT","PPI","DOMESTIC","IDX2015","Q","2004-Q4",83.95789,
"AUT","PPI","DOMESTIC","IDX2015","Q","2005-Q1",85.64341,
"AUT","PPI","DOMESTIC","IDX2015","Q","2005-Q2",85.99324,
"AUT","PPI","DOMESTIC","IDX2015","Q","2005-Q3",85.77062,
"AUT","PPI","DOMESTIC","IDX2015","Q","2005-Q4",85.77062,
"AUT","PPI","DOMESTIC","IDX2015","Q","2006-Q1",86.37486,
"AUT","PPI","DOMESTIC","IDX2015","Q","2006-Q2",87.39253,
"AUT","PPI","DOMESTIC","IDX2015","Q","2006-Q3",87.77416,
"AUT","PPI","DOMESTIC","IDX2015","Q","2006-Q4",87.64696,
"AUT","PPI","DOMESTIC","IDX2015","Q","2007-Q1",88.98265,
"AUT","PPI","DOMESTIC","IDX2015","Q","2007-Q2",90.00032,
"AUT","PPI","DOMESTIC","IDX2015","Q","2007-Q3",90.73177,
"AUT","PPI","DOMESTIC","IDX2015","Q","2007-Q4",91.49503,
"AUT","PPI","DOMESTIC","IDX2015","Q","2008-Q1",92.25828,
"AUT","PPI","DOMESTIC","IDX2015","Q","2008-Q2",93.84839,
"AUT","PPI","DOMESTIC","IDX2015","Q","2008-Q3",94.77065,
"AUT","PPI","DOMESTIC","IDX2015","Q","2008-Q4",92.67171,
"AUT","PPI","DOMESTIC","IDX2015","Q","2009-Q1",91.04979,
"AUT","PPI","DOMESTIC","IDX2015","Q","2009-Q2",90.69997,
"AUT","PPI","DOMESTIC","IDX2015","Q","2009-Q3",91.55863,
"AUT","PPI","DOMESTIC","IDX2015","Q","2009-Q4",92.16287,
"AUT","PPI","DOMESTIC","IDX2015","Q","2010-Q1",92.92612,
"AUT","PPI","DOMESTIC","IDX2015","Q","2010-Q2",95.37489,
"AUT","PPI","DOMESTIC","IDX2015","Q","2010-Q3",96.23356,
"AUT","PPI","DOMESTIC","IDX2015","Q","2010-Q4",96.90141,
"AUT","PPI","DOMESTIC","IDX2015","Q","2011-Q1",99.25477,
"AUT","PPI","DOMESTIC","IDX2015","Q","2011-Q2",100.3997,
"AUT","PPI","DOMESTIC","IDX2015","Q","2011-Q3",100.4314,
"AUT","PPI","DOMESTIC","IDX2015","Q","2011-Q4",100.5905,
"AUT","PPI","DOMESTIC","IDX2015","Q","2012-Q1",101.1629,
"AUT","PPI","DOMESTIC","IDX2015","Q","2012-Q2",101.799,
"AUT","PPI","DOMESTIC","IDX2015","Q","2012-Q3",101.8307,
"AUT","PPI","DOMESTIC","IDX2015","Q","2012-Q4",102.0216,
"AUT","PPI","DOMESTIC","IDX2015","Q","2013-Q1",101.9262,
"AUT","PPI","DOMESTIC","IDX2015","Q","2013-Q2",101.8944,
"AUT","PPI","DOMESTIC","IDX2015","Q","2013-Q3",101.799,
"AUT","PPI","DOMESTIC","IDX2015","Q","2013-Q4",101.6081,
"AUT","PPI","DOMESTIC","IDX2015","Q","2014-Q1",101.5763,
"AUT","PPI","DOMESTIC","IDX2015","Q","2014-Q2",101.6081,
"AUT","PPI","DOMESTIC","IDX2015","Q","2014-Q3",101.5127,
"AUT","PPI","DOMESTIC","IDX2015","Q","2014-Q4",100.8449,
"AUT","PPI","DOMESTIC","IDX2015","Q","2015-Q1",100.1333,
"AUT","PPI","DOMESTIC","IDX2015","Q","2015-Q2",100.7333,
"AUT","PPI","DOMESTIC","IDX2015","Q","2015-Q3",100.0333,
"AUT","PPI","DOMESTIC","IDX2015","Q","2015-Q4",99.1,
"AUT","PPI","DOMESTIC","IDX2015","Q","2016-Q1",97.83334,
"AUT","PPI","DOMESTIC","IDX2015","Q","2016-Q2",98.53333,
"AUT","PPI","DOMESTIC","IDX2015","Q","2016-Q3",98.9,
"AUT","PPI","DOMESTIC","IDX2015","Q","2016-Q4",99.66666,
"AUT","PPI","DOMESTIC","IDX2015","Q","2017-Q1",101.1667,
"AUT","PPI","DOMESTIC","IDX2015","Q","2017-Q2",101.6667,
"AUT","PPI","DOMESTIC","IDX2015","Q","2017-Q3",101.4333,
"AUT","PPI","DOMESTIC","IDX2015","Q","2017-Q4",102.5,
"AUT","PPI","DOMESTIC","IDX2015","Q","2018-Q1",103.2333,
"AUT","PPI","DOMESTIC","IDX2015","Q","2018-Q2",104.4333,
"AUT","PPI","DOMESTIC","IDX2015","Q","2018-Q3",105.2,
"AUT","PPI","DOMESTIC","IDX2015","Q","2018-Q4",105.3,
