"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HUR","TOT","PC_LF","Q","1966-Q3",1.8,
"AUS","HUR","TOT","PC_LF","Q","1966-Q4",1.7,
"AUS","HUR","TOT","PC_LF","Q","1967-Q1",1.8,
"AUS","HUR","TOT","PC_LF","Q","1967-Q2",2,
"AUS","HUR","TOT","PC_LF","Q","1967-Q3",1.9,
"AUS","HUR","TOT","PC_LF","Q","1967-Q4",1.8,
"AUS","HUR","TOT","PC_LF","Q","1968-Q1",1.9,
"AUS","HUR","TOT","PC_LF","Q","1968-Q2",1.9,
"AUS","HUR","TOT","PC_LF","Q","1968-Q3",1.8,
"AUS","HUR","TOT","PC_LF","Q","1968-Q4",1.7,
"AUS","HUR","TOT","PC_LF","Q","1969-Q1",1.8,
"AUS","HUR","TOT","PC_LF","Q","1969-Q2",1.8,
"AUS","HUR","TOT","PC_LF","Q","1969-Q3",1.7,
"AUS","HUR","TOT","PC_LF","Q","1969-Q4",1.9,
"AUS","HUR","TOT","PC_LF","Q","1970-Q1",1.6,
"AUS","HUR","TOT","PC_LF","Q","1970-Q2",1.7,
"AUS","HUR","TOT","PC_LF","Q","1970-Q3",1.7,
"AUS","HUR","TOT","PC_LF","Q","1970-Q4",1.6,
"AUS","HUR","TOT","PC_LF","Q","1971-Q1",1.7,
"AUS","HUR","TOT","PC_LF","Q","1971-Q2",1.9,
"AUS","HUR","TOT","PC_LF","Q","1971-Q3",1.9,
"AUS","HUR","TOT","PC_LF","Q","1971-Q4",2.2,
"AUS","HUR","TOT","PC_LF","Q","1972-Q1",2.4,
"AUS","HUR","TOT","PC_LF","Q","1972-Q2",2.4,
"AUS","HUR","TOT","PC_LF","Q","1972-Q3",2.9,
"AUS","HUR","TOT","PC_LF","Q","1972-Q4",2.8,
"AUS","HUR","TOT","PC_LF","Q","1973-Q1",2.6,
"AUS","HUR","TOT","PC_LF","Q","1973-Q2",2.3,
"AUS","HUR","TOT","PC_LF","Q","1973-Q3",2.1,
"AUS","HUR","TOT","PC_LF","Q","1973-Q4",2.1,
"AUS","HUR","TOT","PC_LF","Q","1974-Q1",2.1,
"AUS","HUR","TOT","PC_LF","Q","1974-Q2",2.1,
"AUS","HUR","TOT","PC_LF","Q","1974-Q3",2.7,
"AUS","HUR","TOT","PC_LF","Q","1974-Q4",4,
"AUS","HUR","TOT","PC_LF","Q","1975-Q1",4.8,
"AUS","HUR","TOT","PC_LF","Q","1975-Q2",4.8,
"AUS","HUR","TOT","PC_LF","Q","1975-Q3",4.7,
"AUS","HUR","TOT","PC_LF","Q","1975-Q4",5.4,
"AUS","HUR","TOT","PC_LF","Q","1976-Q1",4.9,
"AUS","HUR","TOT","PC_LF","Q","1976-Q2",4.5,
"AUS","HUR","TOT","PC_LF","Q","1976-Q3",4.8,
"AUS","HUR","TOT","PC_LF","Q","1976-Q4",4.9,
"AUS","HUR","TOT","PC_LF","Q","1977-Q1",5.2,
"AUS","HUR","TOT","PC_LF","Q","1977-Q2",5.6,
"AUS","HUR","TOT","PC_LF","Q","1977-Q3",5.8,
"AUS","HUR","TOT","PC_LF","Q","1977-Q4",5.9,"B"
"AUS","HUR","TOT","PC_LF","Q","1978-Q1",6.6,
"AUS","HUR","TOT","PC_LF","Q","1978-Q2",6.260784,
"AUS","HUR","TOT","PC_LF","Q","1978-Q3",6.32216,
"AUS","HUR","TOT","PC_LF","Q","1978-Q4",6.301156,
"AUS","HUR","TOT","PC_LF","Q","1979-Q1",6.311269,
"AUS","HUR","TOT","PC_LF","Q","1979-Q2",6.318443,
"AUS","HUR","TOT","PC_LF","Q","1979-Q3",6.209466,
"AUS","HUR","TOT","PC_LF","Q","1979-Q4",6.184165,
"AUS","HUR","TOT","PC_LF","Q","1980-Q1",6.027987,
"AUS","HUR","TOT","PC_LF","Q","1980-Q2",6.228468,
"AUS","HUR","TOT","PC_LF","Q","1980-Q3",6.132995,
"AUS","HUR","TOT","PC_LF","Q","1980-Q4",5.986582,
"AUS","HUR","TOT","PC_LF","Q","1981-Q1",5.76016,
"AUS","HUR","TOT","PC_LF","Q","1981-Q2",5.506377,
"AUS","HUR","TOT","PC_LF","Q","1981-Q3",5.829857,
"AUS","HUR","TOT","PC_LF","Q","1981-Q4",5.965814,
"AUS","HUR","TOT","PC_LF","Q","1982-Q1",6.205014,
"AUS","HUR","TOT","PC_LF","Q","1982-Q2",6.564836,
